id,title,authors,year,venue,search_strings,v1_decision,v1_reason
1,Dynamic adaptive search based software engineering,Mark Harman and Edmund Burke and John A. Clark and Xin Yao,2012,International Symposium on Empirical Software Engineering and Measurement,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
2,An analysis of rule coverage as a criterion in generating minimal test suites for grammar-based software,Mark Hennessy and James F. Power,2005,"20th IEEE/ACM International Conference on Automated Software Engineering, ASE 2005",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
3,Multi-objective coevolutionary automated software correction,Josh L. Wilkerson and Daniel R. Tauritz and James M. Bridges,2012,GECCO'12 - Proceedings of the 14th International Conference on Genetic and Evolutionary Computation,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
4,An ontology for guiding performance testing,Artur Freitas and Renata Vieira,2014,"Proceedings - 2014 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Workshops, WI-IAT 2014",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
5,MAJOR: An efficient and extensible tool for mutation analysis in a Java compiler,Rene Just and Franz Schweiggert and Gregory M. Kapfhammer,2011,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
6,Application of design for verification with concurrency controllers to air traffic control software,Aysu Betin-Can and Tevfik Bultan and Mikael Lindvall and Benjamin Lux and Stefan Topp,2005,"20th IEEE/ACM International Conference on Automated Software Engineering, ASE 2005",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
7,A novel approach to optimize clone refactoring activity,Salah Bouktif and Giuliano Aritoniol and Ettore Merlo and Markus Neteler,2006,GECCO 2006 - Genetic and Evolutionary Computation Conference,String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
8,What test oracle should i use for effective GUI testing?,Atif Memon and Ishan Banerjee and Adithya Nagarajan,2003,"Proceedings - 18th IEEE International Conference on Automated Software Engineering, ASE 2003",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
9,Coverage rewarded: Test input generation via adaptation-based programming,Alex Groce,2011,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
10,A brief survey of program slicing,Baowen Xu and Ju Qian and Xiaofang Zhang and Zhongqiang Wu and Lin Chen,2005,ACM SIGSOFT Software Engineering Notes,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
11,Constraint-based test data generation in the presence of stack-directed pointers,Arnaud Gotlieb and Tristan Denmat and Bernard Botella,2005,"20th IEEE/ACM International Conference on Automated Software Engineering, ASE 2005",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
12,EvoSuite: Automatic test suite generation for object-oriented software,Gordon Fraser and Andrea Arcuri,2011,SIGSOFT/FSE 2011 - Proceedings of the 19th ACM SIGSOFT Symposium on Foundations of Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
13,Localizing SQL faults in database applications,Sarah R. Clark and Jake Cobb and Gregory M. Kapfhammer and James A. Jones and Mary Jean Harrold,2011,"2011 26th IEEE/ACM International Conference on Automated Software Engineering, ASE 2011, Proceedings",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
14,Search-based failure discovery using testability transformations to generate pseudo-oracles,Phil McMinn,2009,"Proceedings of the 11th Annual Genetic and Evolutionary Computation Conference, GECCO-2009",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
15,"Search-based software engineering: Trends, techniques and applications",Mark Harman and S. Afshin Mansouri and Yuanyuan Zhang,2012,ACM Computing Surveys,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
16,"Frontmatter (TOC, Letters, Philosophy of computer science, Interviewers needed, Taking software requirements creation from folklore to analysis, SW components and product lines: from business to systems and technology, Software engineering survey)",,2005,ACM SIGSOFT Software Engineering Notes,String A + String C,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
17,Continuous test generation: Enhancing continuous integration with automated test generation,JosÃ© Campos and Andrea Arcuri and Gordon Fraser and Rui Abreu,2014,ASE 2014 - Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
18,Operator-based and random mutant selection: Better together,Lingming Zhang and Milos Gligoric and Darko Marinov and Sarfraz Khurshid,2013,"2013 28th IEEE/ACM International Conference on Automated Software Engineering, ASE 2013 - Proceedings",String A + String B,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
19,Test case generation from natural language requirements based on SCR specifications,Gustavo Carvalho and Diogo FalcÃ£o and FlÃ¡via Barros and Augusto Sampaio and Alexandre Mota and Leonardo Motta and Mark Blackburn,2013,Proceedings of the ACM Symposium on Applied Computing,String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
20,Automated variability analysis and testing of an e-commerce site. An experience report,Sergio Segura and Ana B. SÃ¡nchez and Antonio Ruiz-CortÃ©s,2014,ASE 2014 - Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
21,PYTHIA: Generating test cases with oracles for JavaScript applications,Shabnam Mirshokraie and Ali Mesbah and Karthik Pattabiraman,2013,"2013 28th IEEE/ACM International Conference on Automated Software Engineering, ASE 2013 - Proceedings",String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
22,CCmutator: A mutation generator for concurrency constructs in multithreaded C/C++ applications,Markus Kusano and Chao Wang,2013,"2013 28th IEEE/ACM International Conference on Automated Software Engineering, ASE 2013 - Proceedings",String A,EXCLUDE, EC4 — mutation testing nh?ng không dùng AI/ML/LLM
23,An automated approach to estimating code coverage measures via execution logs,Boyuan Chen and Jian Song and Peng Xu and Xing Hu and Zhen Ming Jiang,2018,ASE 2018 - Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,String A,EXCLUDE, EC4 — không v? mutation testing (ngoài ph?m vi)
