id,author,title,publication_year,venue,search_string
1,Arghavan Moradi Dakhel|Amin Nikanjam|Vahid Majdinasab|Foutse Khomh|Michel C. Desmarais,Effective test generation using pre-trained Large Language Models and mutation testing,2024,Information and Software Technology,string 1
2,Muhammad Hassan|Sallar Ahmadi-Pour|Khushboo Qayyum|Chandan Kumar Jha|Rolf Drechsler,LLM-Guided Formal Verification Coupled with Mutation Testing,2024,,string 1
3,Frank Tip|Jonathan Bell|Max Schäfer,LLMorpheus: Mutation Testing Using Large Language Models,2025,IEEE Transactions on Software Engineering,string 1
4,Philipp Straubinger|Marvin Kreis|Stephan Lukasczyk|Gordon Fraser,Mutation Testing via Iterative Large Language Model-Driven Scientific Debugging,2025,,string 1
5,Arghavan Moradi Dakhel|Amin Nikanjam|Vahid Majdinasab|Foutse Khomh|Michel C. Desmarais,Effective Test Generation Using Pre-trained Large Language Models and Mutation Testing,2023,arXiv (Cornell University),string 1
6,"Bo Wang|Mingda Chen|Deng, Ming|Youfang Lin|Harman, Mark|Mike Papadakis|Jie M. Zhang",A Comprehensive Study on Large Language Models for Mutation Testing,2024,arXiv (Cornell University),string 1
7,"Frank Tip|Jonathan Bell|Schaefer, Max",LLMorpheus: Mutation Testing using Large Language Models,2024,arXiv (Cornell University),string 1
8,Jennifer Webster|Jennifer Ghith|Orion Penner|Christopher H. Lieu|Bob J.A. Schijvenaars,Using Artificial Intelligence to Support Informed Decision-Making on <i>BRAF</i> Mutation Testing,2024,JCO Precision Oncology,string 1
9,Gabriel Guerrero-Contreras|Sara Balderas-Díaz|Pedro Delgado‐Pérez|Inmaculada Medina‐Bulo,Explainable Artificial Intelligence to Improve Interpretability in Predictive Mutation Testing,2025,Lecture notes in computer science,string 1
10,Vitor Guilherme|Auri Marcelo Rizzo Vincenzi,An initial investigation of ChatGPT unit test generation capability,2023,,string 1
11,Nijat Rajabli|Francesco Flammini|Roberto Nardone|Valeria Vittorini,Software Verification and Validation of Safe Autonomous Cars: A Systematic Literature Review,2020,IEEE Access,string 1
12,Zhiwei Liu|Xinhong Duan|Zhanqi Cui|Zheng Zeng,LLMMutation: Mutation Testing for Large Language Models,2025,,string 1
13,Bo Wang|Mingda Chen|Ming Deng|Youfang Lin|Mark Harman|Mike Papadakis|Jie M. Zhang,A Comprehensive Study on Large Language Models for Mutation Testing,2026,ACM Transactions on Software Engineering and Methodology,string 1
14,Pablo Valle|Shaukat Ali|Aitor Arrieta,Exploring the Potential of Large Language Models in Simulink-Stateflow Mutant Generation,2026,arXiv (Cornell University),string 1
15,Philipp Straubinger|Marvin Kreis|Stephan Lukasczyk|Gordon Fraser,Mutation Testing via Iterative Large Language Model-Driven Scientific Debugging,2025,ArXiv.org,string 1
16,Isaac David|Liyi Zhou|Kaihua Qin|Dawn Song|Lorenzo Cavallaro|Arthur Gervais,Do you still need a manual smart contract audit?,2023,arXiv (Cornell University),string 1
17,Serhat Uzunbayir|Kaan Kurtel,Mutation Testing Reinvented: How Artificial Intelligence Complements Classic Methods,2024,,string 1
18,Bouchaib Falah|Hayat Routaib,"A Comparative Survey of Mutation Testing Across Large Language Models, REST APIs, and Database Engines",2025,,string 1
19,Zhao Tian|Honglin Shu|Dong Wang|Xuejie Cao|Yasutaka Kamei|Junjie Chen,Large Language Models for Equivalent Mutant Detection: How Far Are We?,2024,,string 1
20,Anonymous Anonymous,Test-Aware Mutant Generation Using LLMs,2026,Zenodo (CERN European Organization for Nuclear Research),string 1
21,А. М. Ковтко|Ігор Романович Козбур|Володимир Богданович Савків|Галина Володимирівна Козбур|A. M. Kovtko|I. R. Kozbur|V. B. Savkiv|H. V. Kozbur,Architecture of an automated system for generation of module tests based on artificial intelligence and mutational testing,2025,ELARTU (Ternopil National Technical University),string 1
22,Yuteng Lu|Weidi Sun|Meng Sun,Towards mutation testing of Reinforcement Learning systems,2022,Journal of Systems Architecture,string 1
23,Bekzat Skakov|Sanzhar Abduraimov|Olzhas Nurman|Nursultan Kabylkas,Firefly: Shedding Light on Verification Gaps using LLM-Powered Mutation Testing,2025,,string 1
24,Pedro Cabral|João Pedro Souza Arruda|Cleidson R. B. de Souza|Victor Hugo Santiago C. Pinto,Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek,2025,,string 1
25,Tharindu Godage|Sivaraj Nimishan|Shanmuganathan Vasanthapriyan|Vigneshwaran Palanisamy|Joseph Charles|Selvarajah Thuseethan,Evaluating the Effectiveness of Large Language Models in Automated Unit Test Generation,2025,,string 1
26,Guogen Zeng|Juan Luo|Ying Qiao|S. H. Teng|Anping Liu,SpaceMutation : An LLM-assisted mutation testing framework for DNNs in distributed LEO satellites,2026,Expert Systems with Applications,string 1
27,Yuteng Lu|Kaicheng Shao|Jia Zhao|Weidi Sun|Meng Sun,Mutation testing of unsupervised learning systems,2023,Journal of Systems Architecture,string 1
28,Lucca Renato Guerino|Pedro Henrique Kuroishi|Ana C. R. Paiva|Auri Marcelo Rizzo Vincenzi,Static and Dynamic Comparison of Mutation Testing Tools for Python,2024,,string 1
29,"Yifan Zhang|Sandborn, Michael|Larson, Stefan|Yu Huang|Kevin Leach",K-ASTRO: Structure-Aware Adaptation of LLMs for Code Vulnerability Detection,2022,arXiv (Cornell University),string 1
30,Mohamed Salah Bouafif|Mohammad Hamdaqa|Edward Zulkoski,PRIMG : Efficient LLM-driven Test Generation Using Mutant Prioritization,2025,,string 1
31,Timothy Elvira|Tyler Procko|Lynn Vonderhaar|Omar Ochoa,Exploring Testing Methods for Large Language Models,2024,,string 1
32,Xin Yin|Chao Ni|Xinrui Li|Liushan Chen|Guojun Ma|Xiaohu Yang,Enhancing LLM’s Ability to Generate More Repository-Aware Unit Tests Through Precise Context Injection,2025,,string 1
