timestamp,mutant_id,model,response_model,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd
2026-07-08T13:21:48.849537+00:00,Lang_10f_full_1006,gpt-4o-mini,gpt-4o-mini-2024-07-18,360,45,405,8.1e-05
2026-07-08T13:21:52.060457+00:00,Lang_10f_full_1024,gpt-4o-mini,gpt-4o-mini-2024-07-18,316,42,358,7.259999999999999e-05
2026-07-08T13:21:54.871859+00:00,Lang_10f_full_1034,gpt-4o-mini,gpt-4o-mini-2024-07-18,335,43,378,7.605e-05
2026-07-08T13:21:56.790276+00:00,Lang_10f_full_1039,gpt-4o-mini,gpt-4o-mini-2024-07-18,331,44,375,7.605e-05
2026-07-08T13:21:58.797615+00:00,Lang_10f_full_1041,gpt-4o-mini,gpt-4o-mini-2024-07-18,338,44,382,7.709999999999999e-05
2026-07-08T13:22:00.705738+00:00,Lang_10f_full_105,gpt-4o-mini,gpt-4o-mini-2024-07-18,318,51,369,7.829999999999999e-05
2026-07-08T13:22:03.593010+00:00,Lang_10f_full_1061,gpt-4o-mini,gpt-4o-mini-2024-07-18,296,45,341,7.14e-05
2026-07-08T13:22:05.638420+00:00,Lang_10f_full_1071,gpt-4o-mini,gpt-4o-mini-2024-07-18,333,44,377,7.635e-05
2026-07-08T13:22:07.592314+00:00,Lang_10f_full_1085,gpt-4o-mini,gpt-4o-mini-2024-07-18,309,41,350,7.094999999999999e-05
2026-07-08T13:22:09.454058+00:00,Lang_10f_full_1099,gpt-4o-mini,gpt-4o-mini-2024-07-18,321,45,366,7.515e-05
2026-07-08T13:22:11.489517+00:00,Lang_10f_full_1130,gpt-4o-mini,gpt-4o-mini-2024-07-18,326,43,369,7.47e-05
2026-07-08T13:22:13.009569+00:00,Lang_10f_full_1131,gpt-4o-mini,gpt-4o-mini-2024-07-18,326,39,365,7.23e-05
2026-07-08T13:22:14.399419+00:00,Lang_10f_full_1134,gpt-4o-mini,gpt-4o-mini-2024-07-18,345,41,386,7.635e-05
2026-07-08T13:22:16.239765+00:00,Lang_10f_full_1148,gpt-4o-mini,gpt-4o-mini-2024-07-18,306,44,350,7.23e-05
