project,version,gpt_mutation_score,gpt_selected,gpt_killed,random_mutation_score,random_selected,random_killed,seed,diff
Codec,10f,0.0,0,0,1.0,1,1,123,-1.0
Codec,1f,1.0,11,11,0.8823529411764706,17,15,123,0.11764705882352944
Codec,2f,0.6875,32,22,0.8518518518518519,27,23,123,-0.16435185185185186
Codec,3f,0.8548387096774194,62,53,0.8970588235294118,68,61,123,-0.042220113851992425
Codec,4f,0.8780487804878049,41,36,0.875,24,21,123,0.0030487804878048808
Codec,5f,0.967741935483871,31,30,0.8666666666666667,30,26,123,0.1010752688172043
Codec,6f,0.75,4,3,0.0,2,0,123,0.75
Codec,7f,0.875,40,35,0.8095238095238095,21,17,123,0.06547619047619047
Codec,8f,0.75,40,30,0.75,32,24,123,0.0
Codec,9f,0.8333333333333334,48,40,0.65625,32,21,123,0.17708333333333337
Csv,10f,0.6956521739130435,23,16,0.9375,16,15,123,-0.24184782608695654
Csv,1f,0.8333333333333334,6,5,0.6666666666666666,3,2,123,0.16666666666666674
Csv,2f,1.0,3,3,1.0,5,5,123,0.0
Csv,3f,1.0,7,7,0.6666666666666666,6,4,123,0.33333333333333337
Csv,4f,0.8571428571428571,7,6,0.8333333333333334,6,5,123,0.023809523809523725
Csv,5f,0.88,25,22,0.5555555555555556,9,5,123,0.3244444444444444
Csv,6f,1.0,3,3,1.0,1,1,123,0.0
Csv,7f,0.6666666666666666,6,4,1.0,3,3,123,-0.33333333333333337
Csv,8f,0.0,13,0,0.0,10,0,123,0.0
Csv,9f,1.0,2,2,0.8,5,4,123,0.19999999999999996
JacksonCore,10f,0.6363636363636364,44,28,0.5714285714285714,35,20,123,0.06493506493506496
JacksonCore,1f,0.5531914893617021,47,26,0.6046511627906976,43,26,123,-0.05145967342899549
JacksonCore,2f,0.6710526315789473,228,153,0.645021645021645,231,149,123,0.026030986557302294
JacksonCore,3f,0.6845637583892618,149,102,0.6232876712328768,146,91,123,0.061276087156384995
JacksonCore,4f,0.625,24,15,0.4666666666666667,15,7,123,0.15833333333333333
JacksonCore,5f,0.6428571428571429,14,9,0.25,4,1,123,0.3928571428571429
JacksonCore,6f,0.8235294117647058,17,14,0.6666666666666666,6,4,123,0.1568627450980392
JacksonCore,7f,1.0,5,5,1.0,8,8,123,0.0
JacksonCore,8f,0.8260869565217391,23,19,0.47058823529411764,17,8,123,0.3554987212276215
JacksonCore,9f,0.6845637583892618,149,102,0.6405693950177936,281,180,123,0.043994363371468115
Codec,1f,1.0,11,11,0.8666666666666667,15,13,2026,0.1333333333333333
Codec,2f,0.6875,32,22,0.88,25,22,2026,-0.1925
Codec,3f,0.8548387096774194,62,53,0.8852459016393442,61,54,2026,-0.030407191961924873
Codec,4f,0.8780487804878049,41,36,0.95,20,19,2026,-0.07195121951219507
Codec,5f,0.967741935483871,31,30,0.8387096774193549,31,26,2026,0.12903225806451613
Codec,6f,0.75,4,3,0.3333333333333333,6,2,2026,0.4166666666666667
Codec,7f,0.875,40,35,0.7,20,14,2026,0.17500000000000004
Codec,8f,0.75,40,30,0.72,25,18,2026,0.030000000000000027
Codec,9f,0.8333333333333334,48,40,0.7916666666666666,24,19,2026,0.04166666666666674
Csv,10f,0.6956521739130435,23,16,0.7,10,7,2026,-0.004347826086956497
Csv,1f,0.8333333333333334,6,5,0.3333333333333333,3,1,2026,0.5
Csv,2f,1.0,3,3,1.0,4,4,2026,0.0
Csv,3f,1.0,7,7,1.0,3,3,2026,0.0
Csv,4f,0.8571428571428571,7,6,1.0,3,3,2026,-0.1428571428571429
Csv,5f,0.88,25,22,0.8571428571428571,14,12,2026,0.02285714285714291
Csv,6f,1.0,3,3,0.6666666666666666,3,2,2026,0.33333333333333337
Csv,7f,0.6666666666666666,6,4,1.0,2,2,2026,-0.33333333333333337
Csv,8f,0.0,13,0,0.0,15,0,2026,0.0
Csv,9f,1.0,2,2,1.0,3,3,2026,0.0
JacksonCore,10f,0.6363636363636364,44,28,0.5535714285714286,56,31,2026,0.08279220779220775
JacksonCore,1f,0.5531914893617021,47,26,0.625,40,25,2026,-0.07180851063829785
JacksonCore,2f,0.6710526315789473,228,153,0.5877192982456141,228,134,2026,0.08333333333333326
