project,version,class_name,selected_gpt,killed_gpt,ms_gpt,selected_random,killed_random,ms_random,diff_gpt_minus_random
Codec,10f,org.apache.commons.codec.language.Caverphone,1,1,1.0,1,1,1.0,0.0
Codec,1f,org.apache.commons.codec.language.Caverphone,1,1,1.0,1,1,1.0,0.0
Codec,1f,org.apache.commons.codec.language.Metaphone,13,12,0.9230769230769231,13,12,0.9230769230769231,0.0
Codec,1f,org.apache.commons.codec.language.SoundexUtils,2,2,1.0,2,2,1.0,0.0
Codec,2f,org.apache.commons.codec.binary.Base64,24,15,0.625,24,18,0.75,-0.125
Codec,3f,org.apache.commons.codec.language.DoubleMetaphone,59,50,0.847457627118644,59,47,0.7966101694915254,0.05084745762711862
Codec,4f,org.apache.commons.codec.binary.Base64,26,22,0.8461538461538461,26,24,0.9230769230769231,-0.07692307692307698
Codec,5f,org.apache.commons.codec.binary.Base64,26,25,0.9615384615384616,26,23,0.8846153846153846,0.07692307692307698
Codec,6f,org.apache.commons.codec.binary.Base64InputStream,4,3,0.75,4,0,0.0,0.75
Codec,7f,org.apache.commons.codec.binary.Base64,26,24,0.9230769230769231,26,21,0.8076923076923077,0.11538461538461542
Codec,8f,org.apache.commons.codec.binary.Base64,26,18,0.6923076923076923,26,19,0.7307692307692307,-0.038461538461538436
Codec,8f,org.apache.commons.codec.binary.Base64InputStream,3,3,1.0,3,3,1.0,0.0
Codec,9f,org.apache.commons.codec.binary.Base64,26,21,0.8076923076923077,26,25,0.9615384615384616,-0.15384615384615385
Csv,10f,org.apache.commons.csv.CSVPrinter,11,7,0.6363636363636364,11,9,0.8181818181818182,-0.18181818181818188
Csv,1f,org.apache.commons.csv.ExtendedBufferedReader,4,3,0.75,4,2,0.5,0.25
Csv,2f,org.apache.commons.csv.CSVRecord,2,2,1.0,2,2,1.0,0.0
Csv,3f,org.apache.commons.csv.Lexer,5,5,1.0,5,5,1.0,0.0
Csv,4f,org.apache.commons.csv.CSVParser,5,4,0.8,5,2,0.4,0.4
Csv,5f,org.apache.commons.csv.CSVPrinter,11,9,0.8181818181818182,11,7,0.6363636363636364,0.18181818181818188
Csv,6f,org.apache.commons.csv.CSVRecord,3,3,1.0,3,3,1.0,0.0
Csv,7f,org.apache.commons.csv.CSVParser,5,3,0.6,5,4,0.8,-0.20000000000000007
Csv,8f,org.apache.commons.csv.CSVFormat,15,0,0.0,15,0,0.0,0.0
Csv,9f,org.apache.commons.csv.CSVRecord,3,3,1.0,3,2,0.6666666666666666,0.33333333333333337
JacksonCore,10f,com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,51,33,0.6470588235294118,51,33,0.6470588235294118,0.0
JacksonCore,1f,com.fasterxml.jackson.core.io.NumberInput,20,11,0.55,20,14,0.7,-0.1499999999999999
JacksonCore,1f,com.fasterxml.jackson.core.util.TextBuffer,19,10,0.5263157894736842,19,11,0.5789473684210527,-0.052631578947368474
JacksonCore,2f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,81,58,0.7160493827160493,81,51,0.6296296296296297,0.08641975308641969
JacksonCore,2f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,146,94,0.6438356164383562,146,89,0.6095890410958904,0.03424657534246578
JacksonCore,3f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,147,100,0.6802721088435374,147,85,0.5782312925170068,0.10204081632653061
JacksonCore,4f,com.fasterxml.jackson.core.util.TextBuffer,20,13,0.65,20,11,0.55,0.09999999999999998
JacksonCore,5f,com.fasterxml.jackson.core.JsonPointer,8,8,1.0,8,5,0.625,0.375
JacksonCore,6f,com.fasterxml.jackson.core.JsonPointer,9,8,0.8888888888888888,9,6,0.6666666666666666,0.2222222222222222
JacksonCore,7f,com.fasterxml.jackson.core.json.JsonWriteContext,5,5,1.0,5,5,1.0,0.0
JacksonCore,8f,com.fasterxml.jackson.core.util.TextBuffer,21,17,0.8095238095238095,21,15,0.7142857142857143,0.09523809523809523
JacksonCore,9f,com.fasterxml.jackson.core.base.ParserMinimalBase,15,7,0.4666666666666667,15,9,0.6,-0.1333333333333333
JacksonCore,9f,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,103,77,0.7475728155339806,103,68,0.6601941747572816,0.08737864077669899
JacksonCore,9f,com.fasterxml.jackson.core.json.UTF8StreamJsonParser,173,124,0.7167630057803468,173,116,0.6705202312138728,0.046242774566473965
