project,version,class_name,selected_gpt,killed_gpt,ms_gpt,selected_random,killed_random,ms_random
Lang,10f,org.apache.commons.lang3.AnnotationUtils,3,3,1.0,2,1,0.5
Lang,10f,org.apache.commons.lang3.ArrayUtils,62,62,1.0,12,12,1.0
Lang,10f,org.apache.commons.lang3.BitField,2,2,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.BooleanUtils,19,19,1.0,5,5,1.0
Lang,10f,org.apache.commons.lang3.CharRange,2,2,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.CharSetUtils,2,2,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.CharUtils,4,4,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.ClassUtils,9,9,1.0,4,4,1.0
Lang,10f,org.apache.commons.lang3.LocaleUtils,3,3,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.Range,1,1,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.SerializationUtils$ClassLoaderAwareObjectInputStream,1,1,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.StringUtils,49,49,1.0,18,17,0.9444444444444444
Lang,10f,org.apache.commons.lang3.Validate,2,1,0.5,3,2,0.6666666666666666
Lang,10f,org.apache.commons.lang3.builder.CompareToBuilder,17,15,0.8823529411764706,3,2,0.6666666666666666
Lang,10f,org.apache.commons.lang3.builder.EqualsBuilder,11,5,0.45454545454545453,3,2,0.6666666666666666
Lang,10f,org.apache.commons.lang3.builder.ReflectionToStringBuilder,5,5,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.builder.StandardToStringStyle,2,0,0.0,1,0,0.0
Lang,10f,org.apache.commons.lang3.builder.ToStringStyle,18,13,0.7222222222222222,3,2,0.6666666666666666
Lang,10f,org.apache.commons.lang3.concurrent.BackgroundInitializer,1,1,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.concurrent.ConcurrentUtils,3,3,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.math.Fraction,15,14,0.9333333333333333,3,2,0.6666666666666666
Lang,10f,org.apache.commons.lang3.math.IEEE754rUtils,4,4,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.math.NumberUtils,19,17,0.8947368421052632,5,3,0.6
Lang,10f,org.apache.commons.lang3.mutable.MutableDouble,2,2,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.mutable.MutableInt,1,1,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.reflect.MethodUtils,3,3,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.text.ExtendedMessageFormat,9,6,0.6666666666666666,4,3,0.75
Lang,10f,org.apache.commons.lang3.text.StrBuilder,34,28,0.8235294117647058,9,6,0.6666666666666666
Lang,10f,org.apache.commons.lang3.text.StrSubstitutor,6,6,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.text.StrTokenizer,7,7,1.0,2,1,0.5
Lang,10f,org.apache.commons.lang3.text.WordUtils,3,3,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,2,2,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.text.translate.UnicodeEscaper,2,1,0.5,1,0,0.0
Lang,10f,org.apache.commons.lang3.time.DateUtils$DateIterator,2,2,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.time.DurationFormatUtils,5,5,1.0,2,2,1.0
Lang,10f,org.apache.commons.lang3.time.FastDateParser$3,1,1,1.0,1,1,1.0
Lang,10f,org.apache.commons.lang3.time.FastDatePrinter,3,3,1.0,1,1,1.0
Lang,1f,org.apache.commons.lang3.math.NumberUtils,18,16,0.8888888888888888,3,2,0.6666666666666666
Lang,3f,org.apache.commons.lang3.math.NumberUtils,13,13,1.0,1,0,0.0
Lang,6f,org.apache.commons.lang3.ArrayUtils,13,13,1.0,9,9,1.0
Lang,6f,org.apache.commons.lang3.StringUtils,20,19,0.95,13,13,1.0
